customer_id,age,tenure_months,monthly_charges,login_frequency,support_tickets,payment_failures,usage_hours,contract_type,subscription_type,churn
10001,56,24,93.18,16,3,0,4.64,Monthly,Standard,0
10002,69,65,65.77,12,1,0,20.52,Monthly,Standard,0
10003,46,18,98.79,9,2,1,36.48,Yearly,Standard,0
10004,32,44,31.59,3,2,1,19.1,Yearly,Standard,0
10005,60,57,21.25,26,2,0,63.86,Two Year,Standard,0
10006,25,28,22.22,27,1,0,28.41,Monthly,Premium,1
10007,38,71,72.98,27,2,1,84.73,Two Year,Basic,1
10008,56,23,49.65,9,4,0,56.5,Monthly,Basic,1
10009,36,34,40.45,29,2,0,38.43,Two Year,Standard,0
10010,40,11,99.99,17,5,1,89.41,Two Year,Basic,0
10011,28,35,149.36,14,3,1,83.01,Two Year,Basic,0
10012,28,42,43.11,5,2,1,82.18,Monthly,Premium,0
10013,41,28,91.03,26,2,0,73.11,Monthly,Basic,0
10014,53,24,35.56,21,2,0,61.81,Monthly,Standard,0
10015,57,8,141.45,1,5,0,37.32,Yearly,Premium,0
10016,41,53,57.93,1,2,1,42.84,Yearly,Premium,0
10017,20,4,134.18,3,0,0,65.07,Yearly,Premium,0
10018,39,5,56.8,9,7,0,18.11,Monthly,Premium,1
10019,19,49,124.79,23,4,0,82.95,Yearly,Premium,0
10020,41,30,47.22,6,1,0,93.93,Monthly,Standard,0
10021,61,63,58.06,9,5,1,10.7,Yearly,Standard,0
10022,47,47,45.02,4,0,0,3.22,Two Year,Standard,0
10023,55,26,54.35,20,3,1,15.13,Yearly,Premium,0
10024,19,57,128.53,19,0,1,76.23,Yearly,Premium,0
10025,38,37,103.07,5,4,0,11.67,Monthly,Premium,0
10026,50,7,72.76,5,2,0,37.85,Monthly,Basic,0
10027,29,40,146.3,28,4,0,7.25,Monthly,Standard,0
10028,39,39,80.43,14,0,0,43.82,Two Year,Basic,0
10029,61,62,146.07,10,1,0,60.78,Monthly,Premium,0
10030,42,53,45.56,23,1,0,63.22,Two Year,Basic,0
10031,66,4,137.6,16,1,1,52.37,Monthly,Basic,0
10032,44,25,21.8,23,2,1,93.87,Yearly,Standard,0
10033,59,7,90.89,6,4,0,53.58,Yearly,Standard,0
10034,45,28,75.0,20,4,2,86.06,Yearly,Standard,1
10035,33,69,88.26,23,0,1,99.31,Yearly,Premium,0
10036,32,67,91.95,14,2,0,23.74,Yearly,Basic,1
10037,64,20,70.57,18,3,1,27.29,Monthly,Basic,0
10038,68,11,149.77,29,1,0,52.67,Two Year,Standard,0
10039,61,67,146.95,28,0,0,19.06,Monthly,Basic,0
10040,69,7,145.03,9,0,1,56.85,Monthly,Basic,0
10041,20,23,147.28,7,0,1,68.75,Yearly,Premium,0
10042,54,61,123.09,18,2,0,6.98,Monthly,Basic,0
10043,68,71,148.52,10,1,0,68.46,Yearly,Standard,1
10044,24,34,136.01,2,1,2,16.79,Monthly,Standard,1
10045,38,19,74.07,13,1,0,30.63,Monthly,Basic,1
